is_hit,n_tracks,avg_danceability,avg_energy,avg_loudness,avg_instrumentalness,avg_acousticness
0,86614,0.56,0.633,-8.6,0.178,0.332
1,3126,0.622,0.664,-6.7,0.034,0.23
